MARCA,DESCRIÇÃO,VENDIDO POR,AVALIAÇÕES,QUANTIDADE DE AVALIAÇÕES,PREÇO ANTIGO,PREÇO NOVO,TIPO
Positivo,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 32gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",Por Positivo,4.7,15,4.299,3.299,Notebook
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core I3 - 1215U, 4GB RAM, 256GB SSD, Windows 11 Home, Tela 15.6'' - 82VY000TBR Cor cinza",Por NegociuN,4.8,1229,3.064,2.39,Notebook
Indefinido,"Notebook Chromebook Clamshell, 14, 32gb/4gb - Pc918a Cor Preto",Por Loja Multi,4.7,14,1.399,140.0,Notebook
ASUS,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Linux Keepos Tela 16 Ips Fhd Silver - Mb742,Por Asus,4.9,19,4.199,3.174,Notebook
ACER,Notebook Acer Asp3 A315-510p-34xc I3 8gb 256gb Ssd 15.6 W11,Por Mercado Livre,4.8,103,3.682,2.649,Notebook
ASUS,Notebook Asus Tuf Gaming Rtx3050 Core I5 16gb 512ssd W11,Por Fast Shop,4.9,163,6.463,621.0,Notebook
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",,4.8,4660,3.5,3.01,Notebook
HP,"Notebook Hp 250 G9 Core I5-1235u 8gb Ddr4 256gb Ssd 15.6"" Windows 11 Pro Cor Cinza",,4.9,21,3.889,388.0,Notebook
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,,4.8,527,3.397,339.0,Notebook
ASUS,"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",Por Webfones,4.8,277,2.999,2.209,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core 5, 16gb, 512gb Ssd, Nvidia® Geforce® Mx570, 15.6'' Full Hd Led, Fingerprint - Grafite",Por Samsung,4.8,209,4.899,4.464,Notebook
ASUS,"Notebook ASUS Vivobook Go 15 E1504FA-NJ836W AMD Ryzen 5 7520U 2,8 GHz 8GB 512GB SSD Windows 11 Home 15,6"" Full Hd Preto",,4.8,347,2.771,266.0,Notebook
Vaio,Notebook Vaio Fe 16 Amd Ryzen 7 - 5700u Linux 32gb 512gb Ssd Tela 16 Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0911h,Por Vaio,5.0,7,4.759,3.949,Notebook
SAMSUNG,"Notebook Samsung Book4 I3 1315u 8gb 512gb 15,6 W11p Np754xgj",Por 2Eletro,4.8,4,3.8,2.771,Notebook
LENOVO,"Notebook Gamer Lenovo Loq 15irh8 Intel Core i5 12450H 16gb RAM 512GB SSD RTX 2050 Windows 11 Home Tela 15,6"" Full HD 83EU0001BR",Por Miranda,4.9,2045,5.158,495.0,Notebook
Positivo,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 16gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo,4.6,13,4.099,2.992,Notebook
Vaio,"Notebook VAIO FE15, Intel® Core i5 11th, 8GB 512GB SSD, Tela 15,6'' Full HD Antirreflexo, Linux - Cinza Grafite, VJFE55F11XB0221H",,5.0,2,3.509,3.199,Notebook
ACER,Notebook Gamer Nitro V15 Anv15-51-57ws I5 Lx 8gb 512gb Ssd,Por Acer Brasil,4.8,318,5.299,4.899,Notebook
ASUS,Notebook Asus Core I5 1235u 8gb Ssd 256gb 15.6 Windows 11,Por 2Eletro,5.0,1,4.0,2.999,Notebook
LENOVO,Notebook Ideapad 1i Intel Core i5 12gb 512gb Linux 82vys00900 Cloud Grey,,4.8,4660,3.597,345.0,Notebook
DELL,"Notebook Latitude 5490 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5",,4.2,71,2.999,299.0,Notebook
LENOVO,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),,5.0,17,1.899,1.728,Notebook
ACER,"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",Por Mobcom,4.8,208,4.522,2.499,Notebook
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",Por Asus,4.8,46,3.299,2.899,Notebook
LENOVO,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Por 123 Comprou,4.8,103,3.665,1.979,Notebook
SAMSUNG,"Samsung Chromebook 4 Intel Celeron N4020 4GB 64GB Tela 11.6"" Prata XE310XBA-KT4BR",Por 123 Comprou,4.6,173,2.331,1.399,Notebook
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por 123 Comprou,4.8,2698,8.165,4.499,Notebook
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",Por Asus,4.8,46,3.299,2.899,Notebook
ACER,Notebook Acer Predator 74vx Ci7 14ªg 16gb 512gb Rtx4070 W11,Por Acer Brasil,4.8,19,12.999,10.599,Notebook
SAMSUNG,"Notebook Samsung Book 4 I3 1315u 8gb 512gb Ssd 15,6' W11 Pro",Por Eshop,5.0,3,3.999,2.97,Notebook
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 3 7320U 4gb 256gb SSD Linux 15.6 HD 82x5s00600,Por Gigantec,4.7,210,2.33,224.0,Notebook
HP,Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,Por HP,4.8,8,3.099,297.0,Notebook
Apple,"MacBook Air M2 (2022) 13.6"" midnight 8GB de Ram - 256GB SSD - Apple M",,4.9,496,7.019,701.0,Notebook
Indefinido,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou,4.6,164,2.531,1.259,Notebook
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I5, 8gb, 256gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",,4.9,1149,4.999,3.379,Notebook
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por INPOWER,3.5,6,7.599,5.399,Notebook
ACER,"Notebook Aspire 5 A515-57-58w1 I5 Linux 8gb 256gb 15,6' Fhd",Por Acer Brasil,4.8,43,2.999,299.0,Notebook
ASUS,"Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",Por Asus,4.3,22,2.099,1.679,Notebook
Indefinido,Kit Escova Limpeza Notebook Celular Teclado Fone Pc 7 Em 1,,4.6,105,32.0,3.0,Notebook
LENOVO,Notebook Lenovo Thinkpad T480 14  I5 8ª 8gb Ssd 256gb,Por Micro Livre,4.8,78,1.719,171.0,Notebook
ASUS,"Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz GeForce RTX™2050 8GB RAM 512GB SSD Linux KeepOs Tela 15,6 144Hz IPS FHD Graphite Black - FA506NFR-HN069",Por Mercado Livre,4.8,9,4.999,4.673,Notebook
